(-4*(35 + 3*d))/(5*(-25 + 16*d)),(-2*(225 - 190*d + 192*d**2))/(25*(-25 + 16*d)),(-4*(35 + 3*d))/(5*(-25 + 16*d)),(-2*(225 - 190*d + 192*d**2))/(25*(-25 + 16*d)),(-2*(-5 + 54*d))/(5*(-25 + 16*d)),(-4*(-75 + 25*d + 96*d**2))/(25*(-25 + 16*d)),(-2*(-5 + 54*d))/(5*(-25 + 16*d)),(-4*(-75 + 25*d + 96*d**2))/(25*(-25 + 16*d)),0
(-5*(56 + 5*d))/(-250 + 135*d + 16*d**2),-1/5*(900 + 545*d - 64*d**2)/(-250 + 135*d + 16*d**2),(-5*(56 + 5*d))/(-250 + 135*d + 16*d**2),-1/5*(900 + 545*d - 64*d**2)/(-250 + 135*d + 16*d**2),-((-20 + 217*d)/(-250 + 135*d + 16*d**2)),-1/5*(-600 + 5*d + 896*d**2)/(-250 + 135*d + 16*d**2),(-5*(56 + 5*d))/(-250 + 135*d + 16*d**2),-1/5*(900 + 545*d - 64*d**2)/(-250 + 135*d + 16*d**2),0
(-4*(35 + d))/(-125 - 20*d + 64*d**2),(-2*(225 - 10*d + 64*d**2))/(5*(-125 - 20*d + 64*d**2)),(-10*(-1 + 10*d))/(-125 - 20*d + 64*d**2),(-4*(-75 + 115*d + 32*d**2))/(5*(-125 - 20*d + 64*d**2)),(-4*(35 + d))/(-125 - 20*d + 64*d**2),(-2*(225 - 10*d + 64*d**2))/(5*(-125 - 20*d + 64*d**2)),(-10*(-1 + 10*d))/(-125 - 20*d + 64*d**2),(-4*(-75 + 115*d + 32*d**2))/(5*(-125 - 20*d + 64*d**2)),0
-((280 + 9*d)/(-250 - 65*d + 144*d**2)),-1/5*(900 + 1265*d - 576*d**2)/(-250 - 65*d + 144*d**2),-((-20 + 201*d)/(-250 - 65*d + 144*d**2)),-1/5*(-600 + 725*d + 384*d**2)/(-250 - 65*d + 144*d**2),-((280 + 9*d)/(-250 - 65*d + 144*d**2)),-1/5*(900 + 1265*d - 576*d**2)/(-250 - 65*d + 144*d**2),-((280 + 9*d)/(-250 - 65*d + 144*d**2)),-1/5*(900 + 1265*d - 576*d**2)/(-250 - 65*d + 144*d**2),0
-((-280 + d)/(250 - 185*d + 16*d**2)),-1/5*(-900 + 985*d - 832*d**2)/(250 - 185*d + 16*d**2),-((-280 + d)/(250 - 185*d + 16*d**2)),-1/5*(-900 + 985*d - 832*d**2)/(250 - 185*d + 16*d**2),-((-280 + d)/(250 - 185*d + 16*d**2)),-1/5*(-900 + 985*d - 832*d**2)/(250 - 185*d + 16*d**2),-((20 - 191*d)/(250 - 185*d + 16*d**2)),-1/5*(600 - 1475*d + 128*d**2)/(250 - 185*d + 16*d**2),0
-28/(-25 + 16*d),(-2*(45 + 16*d))/(5*(-25 + 16*d)),-28/(-25 + 16*d),(-2*(45 + 16*d))/(5*(-25 + 16*d)),-28/(-25 + 16*d),(-2*(45 + 16*d))/(5*(-25 + 16*d)),-28/(-25 + 16*d),(-2*(45 + 16*d))/(5*(-25 + 16*d)),0
-((-20 - 3*d)/(-250 + 135*d + 16*d**2)),-((-120 + 61*d)/(-250 + 135*d + 16*d**2)),-((-20 - 3*d)/(-250 + 135*d + 16*d**2)),-((-120 + 61*d)/(-250 + 135*d + 16*d**2)),-((-20 - 3*d)/(-250 + 135*d + 16*d**2)),-((-120 + 61*d)/(-250 + 135*d + 16*d**2)),-((-20 - 3*d)/(-250 + 135*d + 16*d**2)),-((-120 + 61*d)/(-250 + 135*d + 16*d**2)),0
-((10 - 9*d)/(125 - 180*d + 64*d**2)),-1/5*(300 - 355*d + 96*d**2)/(125 - 180*d + 64*d**2),-((10 - 9*d)/(125 - 180*d + 64*d**2)),-1/5*(300 - 355*d + 96*d**2)/(125 - 180*d + 64*d**2),-((10 - 9*d)/(125 - 180*d + 64*d**2)),-1/5*(300 - 355*d + 96*d**2)/(125 - 180*d + 64*d**2),-1/5*(-700 + 1085*d - 416*d**2)/(125 - 180*d + 64*d**2),(-5*(-18 + 11*d))/(125 - 180*d + 64*d**2),0
(-2*(25 + 15*d + d**2))/(625 - 900*d + 270*d**2 + 32*d**3),(-2*(150 - 215*d + 97*d**2))/(625 - 900*d + 270*d**2 + 32*d**3),(-2*(-350 + 205*d + 33*d**2))/(625 - 900*d + 270*d**2 + 32*d**3),(-2*(-225 + 475*d - 291*d**2 + 64*d**3))/(625 - 900*d + 270*d**2 + 32*d**3),(-2*(25 + 15*d + d**2))/(625 - 900*d + 270*d**2 + 32*d**3),(-2*(150 - 215*d + 97*d**2))/(625 - 900*d + 270*d**2 + 32*d**3),(-2*(25 + 15*d + d**2))/(625 - 900*d + 270*d**2 + 32*d**3),(-2*(150 - 215*d + 97*d**2))/(625 - 900*d + 270*d**2 + 32*d**3),0
-((-100 + 45*d + 36*d**2)/(-1250 + 2925*d - 2260*d**2 + 576*d**3)),-((-600 + 1265*d - 940*d**2 + 256*d**3)/(-1250 + 2925*d - 2260*d**2 + 576*d**3)),-((1400 - 2215*d + 868*d**2)/(-1250 + 2925*d - 2260*d**2 + 576*d**3)),-((900 - 1495*d + 612*d**2)/(-1250 + 2925*d - 2260*d**2 + 576*d**3)),-((-100 + 45*d + 36*d**2)/(-1250 + 2925*d - 2260*d**2 + 576*d**3)),-((-600 + 1265*d - 940*d**2 + 256*d**3)/(-1250 + 2925*d - 2260*d**2 + 576*d**3)),-((1400 - 2215*d + 868*d**2)/(-1250 + 2925*d - 2260*d**2 + 576*d**3)),-((900 - 1495*d + 612*d**2)/(-1250 + 2925*d - 2260*d**2 + 576*d**3)),0
